name,data_sensitivity,size,year
Plex,email,15000000,2022
Twitter,SSN,5400000,2021
Shanghai Police,Full Details,500000000,2022
City of Amagasaki Japan,Credit Card,500000,2022
Dubai Real Estate Leak,email,800000,2022
Heroku,SSN,50000,2022
Mailchimp,email,106586,2022
PayHere,Credit Card,1580249,2022
CDEK,Credit Card,18218203,2022
Washington State Dpt of Licensing,Credit Card,257000,2022
Red Cross,Personal Details,500000,2022
Open Subtitles,email,100000,2022
FlexBooker,Credit Card,3700000,2022
LINE Pay,SSN,133000,2021
Robinhood,SSN,5000937,2021
GoDaddy,email,1200000,2021
Travelio,SSN,471376,2021
Acer,email,3000000,2021
Brewdog,email,200000,2021
Nvidia,SSN,100000,2021
Okta,email,100000,2021
Experian SA,Credit Card,24000000,2020
Royal Enfield,Credit Card,420873,2020
Avvo,email,4101101,2019
Aimware,Credit Card,305470,2019
Twitch,Personal Details,10000000,2021
Syniverse,Personal Details,500000000,2021
Pandora Papers,Personal Details,11900000,2021
Neiman Marcus,Credit Card,4600000,2021
Epik,Full Details,15000000,2021
Thailand visitors,SSN,100000000,2021
T-Mobile ,Credit Card,76000000,2021
Contact tracing data,Credit Card,38000000,2021
Estonian gov,Personal Details,280000,2021
Guntrader,SSN,111000,2021
Linkedin,email,700000000,2021
VW,SSN,3300000,2021
MacDonalds,SSN,10000000,2021
Air India,SSN,4500000,2021
Omiai dating app,SSN,1710000,2021
Amazon Reviews,SSN,13124962,2021
Peloton,SSN,3000000,2021
Digital Ocean,,10000000,2021
Park Mobile,SSN,21000000,2021
Ubiquiti,SSN,16000000,2021
Meet Mindful,Personal Details,2240000,2021
Experian Brazil,SSN,220000000,2021
Gab,Credit Card,4000000,2021
Star Alliance,email,16000000,2021
Facebook,email,533000000,2021
Ledger,SSN,270000,2020
T-mobile,email,200000,2020
The Hospital Group,Personal Details,1000000,2020
SolarWinds,Credit Card,50000000,2020
Ho Mobile,SSN,2500000,2020
Spotify,email,500000,2020
Drizly,SSN,2400000,2020
GEDmatch,Full Details,1400000,2020
Call of Duty / Activision,email,500000,2020
Zhenhua,email,2400000,2020
Cense AI,Personal Details,2500000,2020
Nintendo,Credit Card,300000,2020
Pakistani mobile operators,SSN,115000000,2020
US Marshals Service,SSN,387000,2020
db8151dd,SSN,22000000,2020
EasyJet,Credit Card,9000000,2020
Microsoft,email,250000000,2020
Dutch Government,Personal Details,6900000,2020
Virgin Media,email,900000,2020
Boots Advantage Card,email,150000,2020
Tesco Clubcard,email,600000,2020
Marriott Hotels,SSN,5200000,2020
Zoom,email,500000,2020
Israeli government,SSN,6500000,2020
MGM Hotels,SSN,10600000,2020
Buchbinder Car Rentals,SSN,5000000,2020
Wawa,Credit Card,30000000,2019
Desjardins Group,SSN,4200000,2019
US Customs and Border Protection,SSN,100000,2019
Quest Diagnostics,Personal Details,20000000,2019
Australian National University,Personal Details,200000,2019
Canva,SSN,139000000,2019
Chtrbox,email,49000000,2019
WiFi Finder,email,2000000,2019
Toyota,SSN,3100000,2019
Unknown,Personal Details,1800000,2019
Vårdguiden,Full Details,2700000,2019
Dubsmash,email,162000000,2019
ShareThis,email,41000000,2019
HauteLook,email,28000000,2019
Animoto,email,25000000,2019
EyeEm,email,22000000,2019
8fit,email,20000000,2019
Whitepages,email,18000000,2019
Fotolog,email,16000000,2019
Armor Games,email,11000000,2019
BookMate,email,8000000,2019
CoffeeMeetsBagel,email,6000000,2019
Artsy,email,1000000,2019
DataCamp,email,700000,2019
Ixigo,email,18000000,2019
YouNow,email,40000000,2019
