sector,records,year
academic,200000,2019
academic,146000,2014
academic,760000,2010
app,1710000,2021
app,50000000,2020
app,2000000,2019
app,14000000,2018
app,57000000,2017
app,15000000,2016
app,400000,2015
finance,220000000,2021
finance,270000,2020
finance,4200000,2019
finance,300000,2018
finance,270000,2017
finance,1100,2016
finance,40000,2015
finance,4000000,2014
finance,160000000,2013
finance,1500000,2012
finance,34000,2011
finance,3300000,2010
finance,130000000,2009
finance,1000000,2008
finance,8500000,2007
finance,125000,2006
finance,200000,2005
gaming,10000000,2021
gaming,500000,2020
gaming,305470,2019
gaming,7000000,2016
gaming,58000000,2013
gaming,14000000,2012
gaming,77000000,2011
government,500000,2022
government,257000,2022
government,11900000,2021
government,387000,2020
government,100000,2019
government,550000000,2018
government,3000000,2017
government,55000000,2016
government,21500000,2015
government,5190396,2014
government,100000,2013
government,800000,2012
government,3500000,2011
government,392000,2010
government,84000,2008
government,3000000,2007
health,1000000,2020
health,20000000,2019
health,1500000,2018
health,81309,2017
health,3700000,2016
health,1100000,2015
health,4500000,2014
health,344579,2013
health,228000,2012
health,1700000,2011
health,1220000,2010
health,531400,2009
,,
retail,18218203,2022
retail,200000,2021
retail,900000,2020
retail,30000000,2019
retail,383000000,2018
retail,2000000,2017
retail,1025,2016
retail,1100000,2014
retail,70000000,2013
retail,283000,2011
retail,4200000,2008
retail,800000,2007
tech,50000,2022
tech,106586,2022
tech,3000000,2021
tech,2400000,2019
tech,330000000,2018
tech,3000000,2017
tech,38000000,2013
telecoms,500000000,2021
telecoms,76000000,2021
telecoms,38000000,2021
telecoms,200000,2020
telecoms,2500000,2020
telecoms,115000000,2020
telecoms,10000000,2018
telecoms,2000000,2018
telecoms,32000000,2018
telecoms,1900000,2017
telecoms,130000,2016
telecoms,2400000,2015
telecoms,8700000,2012
telecoms,113000,2008
telecoms,17000000,2008
transport,4500000,2021
transport,16000000,2021
transport,420873,2020
transport,9000000,2020
transport,3100000,2019
transport,18000000,2019
transport,4900000,2019
transport,380000,2018
transport,52000,2014
web,3700000,2022
web,24000000,2020
web,22000000,2020
web,139000000,2019
web,1800000,2019
web,41000000,2019
web,20000000,2019
web,8000000,2019
web,48000000,2018
web,3000000,2017
web,171000000,2016
web,2400000,2014
web,250000,2013
web,1000000,2013
web,3000000,2011
web,573000,2009
