name,data_sensitivity,size,year
Plex,email,261378000,2022
Twitter,SSN,5400000,2021
CVS,Full Details,100000000,2022
Amagasaki ,Credit Card,160000000,2022
Dubai ,email,209000000,2022
Mailchimp,email,40000000,2022
PayHere,Credit Card,86400000,2022
CDEK,Credit Card,20000000,2022
Aura,Credit Card,220000000,2022
Rainbow,Personal Details,145000000,2022
Unicorn,email,50000000,2022
FlexBooker,Credit Card,75000000,2022
LINE Pay,SSN,13300000,2021
Robinhood,SSN,50009307,2021
GoDaddy,email,12000000,2021
Travelio,SSN,47130076,2021
Acer,email,30000000,2021
Brewdog,email,20000000,2021
Nvidia,SSN,10000000,2021
Okta,email,10000000,2021
Delta,Credit Card,24000000,2020
Infinity,Credit Card,42087003,2020
Aimware,Credit Card,30540070,2019
Twitch,Personal Details,10000000,2021
Syniverse,Personal Details,148000000,2021
Nexus,Personal Details,11900000,2021
Momentum,Credit Card,46000000,2021
Epik,Full Details,15000000,2021
Accelerate,SSN,100000000,2021
T-Mobile ,Credit Card,76000000,2021
Contact data,Credit Card,38000000,2021
Estonian gov,Personal Details,28000000,2021
Guntrader,SSN,11100000,2021
Linkedin,email,199000000,2021
VW,SSN,33000000,2021
MacDonalds,SSN,10000000,2021
Air India,SSN,45000000,2021
Omiai app,SSN,17100000,2021
Berry,SSN,13124962,2021
Peloton,SSN,30000000,2021
Digital Ocean,,10000000,2021
Park Mobile,SSN,21000000,2021
Ubiquiti,SSN,16000000,2021
Stellar,Personal Details,22400000,2021
Galaxy,SSN,220000000,2021
Gab,Credit Card,40000000,2021
Star Alliance,email,16000000,2021
Ledger,SSN,27000000,2020
Thrive,email,20000000,2020
Sharp,Personal Details,10000000,2020
SolarWinds,Credit Card,50000000,2020
Ho Mobile,SSN,25000000,2020
Spotify,email,50000000,2020
Drizly,SSN,24000000,2020
GEDmatch,Full Details,14000000,2020
COD,email,50000000,2020
Zhenhua,email,24000000,2020
Cense AI,Personal Details,25000000,2020
Nintendo,Credit Card,30000000,2020
Pk mobiles,SSN,115000000,2020
US Marshals ,SSN,38700000,2020
Nova,SSN,22000000,2020
EasyJet,Credit Card,90000000,2020
Microsoft,email,122000000,2020
Dutch Gvt,Personal Details,69000000,2020
Spectrum,email,90000000,2020
Boots Card,email,15000000,2020
Wonder,email,60000000,2020
Fab,SSN,52000000,2020
Zoom,email,50000000,2020
Limitless,SSN,65000000,2020
MGM Hotels,SSN,10600000,2020
Buchbinders,SSN,50000000,2020
Wawa,Credit Card,30000000,2019
Vivid,SSN,42000000,2019
Turbo,Personal Details,20000000,2019
Canva,SSN,139000000,2019
Chtrbox,email,49000000,2019
WiFi Finder,email,20000000,2019
Toyota,SSN,31000000,2019
Liky,Personal Details,18000000,2019
Kuto,Full Details,27000000,2019
Dubsmash,email,162000000,2019
ShareThis,email,41000000,2019
HauteLook,email,28000000,2019
Animoto,email,25000000,2019
EyeEm,email,22000000,2019
8fit,email,20000000,2019
Whitepages,email,18000000,2019
Fotolog,email,16000000,2019
ArmorGames,email,11000000,2019
BookMate,email,80000000,2019
Honor,email,60000000,2019
Artsy,email,100000000,2019
DataCamp,email,70000000,2019
Ixigo,email,18000000,2019
YouNow,email,40000000,2019
Houzz,SSN,57000000,2019
Gett,email,35000000,2019
Coinmama,email,45000000,2019
Roll20,email,40000000,2019
Gooseberry,email,50000000,2019
Petflow,email,10000000,2019
500px,SSN,14800000,2019
Blur,email,24000000,2019
Luta,email,76000000,2019
Lumidian,SSN,275265298,2019
Powerhouse,SSN,50000000,2019
Capital One,Credit Card,100000000,2019
Suprema,Full Details,27800000,2019
Facebook,SSN,250000000,2019
DoorDash,SSN,49000000,2019
BriansClub,Credit Card,26000000,2019
OxyData,SSN,180000000,2019
Pepper,SSN,140000000,2018
Cranberry,Credit Card,94000000,2018
Dynamo,SSN,202000000,2018
Google+,SSN,52500000,2018
Quora,email,100000000,2018
Circle,Credit Card,280000000,2018
NMBS,SSN,70000000,2018
Panerabread,SSN,37000000,2018
MyHeritage,email,92283889,2018
Nucaza,Credit Card,180000000,2018
MyFitnessPal,email,150000000,2018
Helse,Personal Details,120000000,2018
Nametests,email,120000000,2018
Firebase,Full Details,100000000,2018
Aadhaar,Personal Details,55000000,2018
Grindr,Credit Card,120000000,2018
LocalBlox,SSN,48000000,2018
Twitter,email,270000000,2018
TicketFly,SSN,27000000,2018
Amazon,email,145000000,2018
SKY Brasil,email,32000000,2018
Facebook,SSN,29000000,2018
Newegg,Credit Card,45000000,2018
Konversation,Full Details,1100,2016
Apollo,email,200000000,2018
Disqus,Personal Details,180000000,2017
Yahoo,Personal Details,32000000,2017
Uber,email,124000000,2017
Snapchat,email,225000000,2017
Spambot,Personal Details,300000000,2017
CEX,Credit Card,183000000,2017
Altype,Personal Details,31000000,2017
Cellebrite,SSN,99000000,2017
Waterly,Credit Card,137000000,2017
Interact,Full Details,183000000,2017
Chis,SSN,60000000,2017
Vovoma,SSN,34000000,2017
Bell,email,65000000,2017
Zomato,Personal Details,17000000,2017
Syscake,Personal Details,46200000,2017
Instagram,email,60000000,2017
Viacom,Personal Details,110000000,2017
Equifax,Personal Details,14300000,2017
LinkedIn,email,117000000,2016
Tumblr,email,65000000,2016
Yahoo,SSN,500000000,2016
Cashnamic,Full Details,11500000,2016
Vorexo,Full Details,55000000,2016
Provados,email,274477,2016
Minecraft,email,7000000,2016
Elevate,SSN,49611709,2016
Bronq,Credit Card,3700000,2016
Mail ru,SSN,25000000,2016
PayAsUGym,email,300000,2016
Lyndacom,email,9500000,2016
Linux ,email,2000000,2016
Wendy's,Credit Card,1025,2016
campaign,SSN,5000000,2016
uTorrent ,email,35000,2016
Ubuntu,Credit Card,2200000,2016
Blazingg,Full Details,112000,2016
VK,Personal Details,171000000,2016
Nival,Personal Details,1500000,2016
Fling,Personal Details,40000000,2016
MySpace,email,164000000,2016
Three,SSN,130000,2016
Keashy,Personal Details,550000,2016
Telegram ,email,15000000,2016
Dailymotion,email,85200000,2016
Weebly,Personal Details,43000000,2016
Interpark,SSN,10000000,2016
Truvola,Personal Details,34000,2016
Drift,email,412000000,2016
Brazzers,Personal Details,790724,2016
ClixSense,Full Details,6600000,2016
Carefirst,email,1100000,2015
Twitch,email,10000000,2015
Premera,Full Details,11000000,2015
Uber,email,50000,2015
Stretchyy,SSN,198000000,2015
Kromtech,email,13000000,2015
Invest Bank,Personal Details,40000,2015
Sanrio,SSN,3300000,2015
VTech,Full Details,6400000,2015
Elvoir,Full Details,500000,2015
Delrox,email,37000000,2015
Evvoly,Full Details,21500000,2015
Voxoti,SSN,4000000,2015
Convey,Personal Details,30,2015
IRS,email,100000,2015
MSpy,SSN,400000,2015
Martzie,email,3900000,2015
Jeddies,Full Details,70000000,2015
TalkTalk,SSN,157000,2015
Experian ,Credit Card,15000000,2015
Slack,email,500000,2015
Aragoza,Credit Card,2400000,2015
Arrivana,email,10000,2015
Anthem ,SSN,80000000,2015
Neenox,Personal Details,4500000,2015
Prozino,SSN,1100000,2014
AOL,email,2400000,2014
Fantella,SSN,4500000,2014
Mortagee,SSN,5190396,2014
Jeezl,SSN,10000000,2014
Wedowa,SSN,146000,2014
Ebay,email,145000000,2014
UPS,Credit Card,4000000,2014
Qotty,email,4000000,2014
Finphilia,Credit Card,76000000,2014
Catalyst,email,52000,2014
Resolve,Personal Details,2700000,2014
Dansors,SSN,750000,2014
Staples,Credit Card,1160000,2014
GMail,email,5000000,2014
Pllex,Credit Card,56000000,2014
Cupiro,Full Details,20000000,2014
Dominios,email,600000,2014
Mozilla,SSN,76000,2014
Drizzlr,Full Details,160000000,2013
Simiyo,Personal Details,344579,2013
Citigroup,SSN,150000,2013
Tianya,email,40000000,2013
Scribd,email,50000000,2013
Spoonist,email,50000000,2013
Yahoo,SSN,550000000,2013
SnapChat,SSN,4600000,2013
Zasvo,SSN,74000,2013
Demarx,Credit Card,110000,2013
Twitter,email,250000,2013
Walgreens,Personal Details,100000,2013
Suffies,SSN,100000,2013
Kaddir,SSN,4000000,2013
OVH,SSN,200000,2013
Apple,email,275000,2013
NASDAQ,email,500000,2013
UbiSoft,SSN,58000000,2013
Ubuntu,Credit Card,2000000,2013
Nintendo,SSN,4000000,2013
Crust,Full Details,1500000,2013
Facebook,email,6000000,2013
Evernote,email,50000000,2013
Megzu,SSN,125000,2013
Kremet,email,22000000,2013
Drupal,email,1000000,2013
Vorenza,SSN,170000,2013
Opody,SSN,160000,2013
Evorry,email,860000,2013
Rosatino,SSN,200000000,2013
Vodafone,Credit Card,2000000,2013
Adobe,Credit Card,38000000,2013
Rakkz,Credit Card,1000000,2013
ssndobms,SSN,4000000,2013
Target,Credit Card,70000000,2013
Treepa,email,6000000,2012
Wazzl,Credit Card,1500000,2012
Nerrve,Personal Details,228000,2012
Tubare,Full Details,3000000,2012
Fondors,SSN,800000,2012
Evopu,Personal Details,315000,2012
Nulano,SSN,6500000,2012
Medicaid,Full Details,780000,2012
Blizzard,SSN,14000000,2012
Fullmoo,SSN,1800000,2012
Nucoza ,SSN,102153,2012
Zappos,SSN,24000000,2012
Tiger,email,420000,2012
KT Corp,SSN,8700000,2012
Oxobo,email,450000,2012
Lastfm,email,43500000,2012
Coyyote,email,8000000,2012
Gamigo,email,8000000,2012
Knaro,email,163792,2012
"""Apple""",SSN,12367232,2012
Kalvac,SSN,9000000,2012
Fuunction,email,3600000,2012
Dropbox,email,68700000,2012
Villery,Personal Details,1700000,2011
Cultivate,SSN,231400,2011
Grippel,Full Details,800000,2011
Betfair,Credit Card,2300000,2011
Thermaal,Personal Details,156000,2011
Suseta,SSN,43000,2011
Dinzio,Credit Card,34000,2011
Startnamic,SSN,3500000,2011
Epsilon,email,3000000,2011
Sony PSN,email,77000000,2011
Bivla,Credit Card,123461,2011
Varillo,SSN,73000,2011
Stratfor,Credit Card,935000,2011
Setbi,email,10000000,2011
Sovoca,SSN,300000,2011
Ozeet,email,62000,2011
Dexilo,email,200000,2011
Sega,SSN,1290755,2011
Citigroup,Credit Card,210000,2011
Adcrab,email,1000000,2011
Sioria,SSN,175350,2011
Anario,SSN,1270000,2011
Nooph,Credit Card,1900000,2011
Cabacu,Personal Details,514330,2011
Loxro,Personal Details,400000,2011
NHS,Personal Details,8600000,2011
Elephant,email,180000,2011
Frasmic,Credit Card,24600000,2011
Bestova,SSN,283000,2011
Yedlo,Full Details,210000,2011
Graggles,SSN,1000000,2011
Steam,Credit Card,35000000,2011
Coyoro,Credit Card,200000,2011
Promoko,SSN,13200000,2011
Dromoto,Personal Details,1600000,2011
Tornaddo,SSN,4243434,2011
